STABBR,CITY,INSTNM,SATMT25,SATVR25,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,PCIP27,COSTT4_A
CA,Norwalk,Cerritos College,NULL,NULL,NULL,NULL,7000,0.0105,15112
CA,Ridgecrest,Cerro Coso Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0137,11313
CA,Hayward,Chabot College,NULL,NULL,NULL,NULL,7261,0.0136,11583
CA,Rancho Cucamonga,Chaffey College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0052,15215
CA,Orange,Chapman University,560,550,0.5403,1225,21000,0.0099,64501
CA,Los Angeles,Charles R Drew University of Medicine and Science,NULL,NULL,0.25,NULL,18750,0,NULL
CA,Irvine,Concordia University-Irvine,450,457,0.6504,1048,22250,0.0064,45687
CA,Santee,San Diego Christian College,420,440,0.533,938,23525,0,43473
CA,Berkeley,Church Divinity School of the Pacific,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,Glendora,Citrus College,NULL,NULL,NULL,NULL,4750,0.0045,9281
CA,Citrus Heights,Citrus Heights Beauty College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
CA,San Francisco,City College of San Francisco,NULL,NULL,NULL,NULL,7250,0.0124,10333
CA,Claremont,Claremont Graduate University,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,Claremont,Claremont McKenna College,670,650,0.0944,1413,14500,0.0251,66325
CA,Visalia,Milan Institute-Visalia,NULL,NULL,NULL,NULL,8810,0,NULL
CA,Clovis,Clovis Adult Education,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
CA,Fountain Valley,Coastline Community College,NULL,NULL,NULL,NULL,5250,0.0007,22519
CA,San Jose,Cogswell College,NULL,NULL,0.8256,NULL,31000,0,27446
CA,San Diego,Coleman University,NULL,NULL,NULL,NULL,32030,0,33695
CA,Anaheim,Coba Academy,NULL,NULL,NULL,NULL,10556,0,NULL
CA,Pomona,Western University of Health Sciences,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,Sonora,Columbia College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0024,12282
CA,Tarzana,Columbia College Hollywood,NULL,NULL,0.5419,NULL,25023,0,35282
CA,Compton,El Camino College-Compton Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0071,15261
CA,San Pablo,Contra Costa College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0029,13070
CA,Sacramento,Cosumnes River College,NULL,NULL,NULL,NULL,9000,0.0087,14679
CA,Yucaipa,Crafton Hills College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0177,18790
CA,San Luis Obispo,Cuesta College,NULL,NULL,NULL,NULL,9500,0.0276,15316
CA,El Cajon,Cuyamaca College,NULL,NULL,NULL,NULL,4500,0.0338,11194
CA,Cypress,Cypress College,NULL,NULL,NULL,NULL,9500,0.013,10825
CA,Cupertino,De Anza College,NULL,NULL,NULL,NULL,14723,0.0073,11144
CA,Palm Desert,International School of Beauty Inc,NULL,NULL,NULL,NULL,7240.5,0,NULL
CA,Blue Lake,Dell'Arte International School of Physical Theatre,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
CA,Palm Desert,College of the Desert,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0089,14656
CA,San Diego,Design Institute of San Diego,NULL,NULL,NULL,NULL,42485.5,0,29002
CA,Pleasant Hill,Diablo Valley College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.021,11519
